Story,Elevation_ft,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Mode_8,Mode_9,Mode_10
Story10,93,-0.04661,0.04921,-0.048174,0.045412,-0.038231,0.035116,-0.024095,-0.015542,-0.006966,-0.001018
Story9,84,-0.045198,0.038935,-0.021844,-0.003085,0.027568,-0.051179,0.051141,0.044057,0.023351,0.004128
Story8,75,-0.043182,0.023648,0.012996,-0.045092,0.045295,-0.0161,-0.026069,-0.055825,-0.041491,-0.009438
Story7,66,-0.040712,0.006376,0.039381,-0.044159,-0.003948,0.050076,-0.028207,0.033791,0.051079,0.016577
Story6,57,-0.037507,-0.012837,0.048609,-0.000925,-0.050297,0.009485,0.049411,0.011742,-0.051026,-0.028382
Story5,48,-0.034068,-0.028506,0.035731,0.038813,-0.021441,-0.045797,-0.007218,-0.044476,0.037283,0.042543
Story4,39,-0.030115,-0.040429,0.007049,0.045753,0.03704,-0.009482,-0.045434,0.038056,-0.005607,-0.053416
Story3,30,-0.025814,-0.046247,-0.024027,0.01372,0.042813,0.044768,0.03096,0.00223,-0.02823,0.058097
Story2,21,-0.02093,-0.044822,-0.043941,-0.028542,-0.009229,0.011992,0.029835,-0.039607,0.044994,-0.051367
Story1,12,-0.015073,-0.035303,-0.042761,-0.043415,-0.044442,-0.038718,-0.038287,0.031061,-0.027798,0.026057
Base,0,0,0,0,0,0,0,0,0,0,0
